round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
120,18,probing,1.045074374997057,5873,ExitStatus.FEASIBLE,1,True,5,STR0,NO,AC,True,False,MDD,TableHybrid,True,RunRobin,Lexico
121,19,probing,1.0353230000037001,,ExitStatus.UNKNOWN,1000,True,5,STR3,NO,AC,True,True,Table,Table,True,Conflicts,Lexico
122,20,probing,1.0434384999971371,5534,ExitStatus.FEASIBLE,1,False,1,CMDDO,NO,AC,False,True,Table,Matrix2D,True,Rand,Wdeg
123,21,probing,1.0300183340004878,5424,ExitStatus.FEASIBLE,10,True,10,CMDDO,RST,AP,True,False,TableHybrid,Bits,False,Median,PickOnDom
124,22,probing,1.0340113749989541,6180,ExitStatus.FEASIBLE,10,True,10,CT,NO,SAC3,True,True,Table,Matrix3D,False,Median,Impact
125,23,probing,1.0458409589919029,5636,ExitStatus.FEASIBLE,100,True,5,CT,RST,AC,True,False,Table,Matrix3D,True,Median,Rand
126,24,probing,1.0343669579888228,6643,ExitStatus.FEASIBLE,10,True,10,CMDDS,NO,SAC3,True,True,Table,Table,True,Vals,RunRobin
127,25,probing,1.0205444169987459,,ExitStatus.UNKNOWN,1,False,5,STR2,RST,GT,False,True,MDD,Bits,True,Conflicts,FrbaOnDom
128,26,probing,0.6225618750031572,13572,ExitStatus.FEASIBLE,100,False,1,STR0,RST,GT,True,True,MDD,Tries,False,Last,PickOnDom
129,27,probing,1.0792992089991458,5834,ExitStatus.FEASIBLE,100,True,2,STR1,RST,SAC3,True,True,TableHybrid,Table,False,Rand,Memory
130,28,probing,1.0349608329997864,,ExitStatus.UNKNOWN,100,False,10,CMDDO,NO,GT,False,False,Matrix2D,MDD,True,Rand,Activity
131,29,probing,1.0363505830027862,,ExitStatus.UNKNOWN,100,False,1,STR2,RST,GT,True,False,Matrix2D,Table,True,Conflicts,Rand
132,30,probing,1.0193491659883875,6180,ExitStatus.FEASIBLE,100,True,1,CMDDS,RST,SAC3,True,False,Bits,Matrix2D,False,Median,Lexico
133,31,probing,1.0447880830033682,5610,ExitStatus.FEASIBLE,1,True,5,STR3,RST,AC,True,False,Table,MDD,False,RunRobin,WdegOnDom
134,32,probing,1.0468032920034602,5609,ExitStatus.FEASIBLE,100,False,1,STR1,RST,AC,True,False,Matrix2D,Matrix3D,False,Last,Activity
135,33,probing,1.038528541001142,6137,ExitStatus.FEASIBLE,1,False,0,STR1,RST,SAC3,True,False,Tries,TableHybrid,False,RunRobin,FrbaOnDom
136,34,probing,1.0357025830016937,5734,ExitStatus.FEASIBLE,1000,True,1,CT,NO,AP,True,True,Matrix3D,Bits,True,OccsR,PickOnDom
137,35,probing,1.011477375010145,,ExitStatus.UNKNOWN,100,False,5,STR1N,NO,AC,False,True,Matrix3D,Table,True,Conflicts,Impact
138,36,probing,1.0439780000015162,5826,ExitStatus.FEASIBLE,1,True,5,V,NO,AC,True,True,Matrix3D,MDD,True,Rand,Impact
139,37,probing,1.034987209000974,6109,ExitStatus.FEASIBLE,1,True,10,CT,NO,SAC3,False,False,Tries,Bits,True,Rand,Lexico
140,38,probing,1.0200495000026422,,ExitStatus.UNKNOWN,1000,False,5,CMDDO,RST,GT,False,True,Table,Matrix3D,False,Conflicts,WdegOnDom
141,39,probing,1.02871379199496,6030,ExitStatus.FEASIBLE,1000,False,2,STR1,NO,AC,False,True,Tries,Matrix3D,True,Vals,PickOnDom
142,40,probing,1.0191166250006063,,ExitStatus.UNKNOWN,1000,False,2,CMDDO,NO,BT,False,False,Tries,Matrix2D,False,Last,Impact
143,41,probing,1.034746625009575,,ExitStatus.UNKNOWN,1000,False,5,V,RST,BT,True,True,Tries,Table,True,OccsR,Lexico
144,42,probing,1.0443337080068886,5613,ExitStatus.FEASIBLE,10,True,2,CMDDO,RST,AP,True,True,Tries,Tries,True,RunRobin,Wdeg
145,43,probing,1.0207198330026586,,ExitStatus.UNKNOWN,1000,True,1,STR2N,RST,AP,True,False,Matrix2D,Matrix3D,True,Conflicts,Rand
146,44,probing,1.0196707080031047,,ExitStatus.UNKNOWN,10,False,5,VA,RST,GT,False,True,Table,MDD,False,Rand,Memory
147,45,probing,1.0444175839948002,5534,ExitStatus.FEASIBLE,100,False,5,V,RST,AP,True,False,Tries,MDD,False,Rand,PickOnDom
148,46,probing,0.8011239170009503,8768,ExitStatus.FEASIBLE,1,True,10,VA,NO,GT,True,False,Table,TableHybrid,False,Median,PickOnDom
149,47,probing,1.0346768339950358,6316,ExitStatus.FEASIBLE,100,False,5,STR2,NO,SAC3,True,False,Tries,TableHybrid,True,Rand,Activity
150,48,probing,1.0341128750005737,6643,ExitStatus.FEASIBLE,10,True,5,CMDDO,RST,SAC3,True,False,Matrix3D,Bits,True,RunRobin,RunRobin
151,49,probing,1.0377817079861416,6137,ExitStatus.FEASIBLE,1,False,5,STR2N,RST,SAC3,True,False,Bits,Bits,False,RunRobin,Memory
152,50,probing,1.020233208007994,,ExitStatus.UNKNOWN,100,True,1,STR2,RST,BT,True,True,Bits,Table,True,Conflicts,WdegOnDom
153,51,probing,1.0432967089873273,5917,ExitStatus.FEASIBLE,1,True,10,STR1,NO,AC,True,False,Bits,Matrix3D,False,Median,Activity
No Round,No Stagnation Round,solving,0.5922895830008201,0,ExitStatus.FEASIBLE,1000,False,0,CMDDO,NO,GT,True,True,TableHybrid,Matrix3D,False,RunRobin,Wdeg
